"contrast","ratio","SE","df","null","t.ratio","p.value"
"Melipona capixaba / Trigona spinipes",1.45836784910074,0.290470511095983,45,1,1.89440329225688,0.97828638977174
"Melipona captiosa / Melipona fulva",0.786229960250539,0.174305598380918,45,1,-1.08483601433523,0.999997481353495
"Melipona captiosa / Melipona mandacaia",0.925670544664511,0.177550471768184,45,1,-0.402679385720664,1
"Melipona captiosa / Melipona marginata",1.53005933462162,0.290958409946181,45,1,2.23655402901505,0.887811337857475
"Melipona captiosa / Melipona mondury",0.876405312219962,0.166667554881055,45,1,-0.69372339322318,0.999999999899409
"Melipona captiosa / Melipona quadrifasciata",0.69235883204688,0.136304464373751,45,1,-1.86748364276857,0.981609772000721
"Melipona captiosa / Melipona scutellaris",0.763334091843501,0.146467855873007,45,1,-1.40744605505549,0.999677542175137
"Melipona captiosa / Nannotrigona testaceicornis",1.27218807143568,0.242506999108339,45,1,1.26290954914491,0.999951884534805
"Melipona captiosa / Oxytrigona tataira",2.64471828895399,0.719216565212575,45,1,3.57633483978334,0.133325079621026
"Melipona captiosa / Partamona helleri",0.635789803893167,0.121839845081427,45,1,-2.36327538552393,0.82766329289511
"Melipona captiosa / Plebeia droryana",1.02741205884066,0.206367678299462,45,1,0.134635340417755,1
"Melipona captiosa / Plebeia lucii",1.1654650423515,0.228837789537034,45,1,0.779837209870493,0.999999998315531
"Melipona captiosa / Plebeia phrynostoma",1.43139591850223,0.469454541100724,45,1,1.09354643387797,0.999997036376243
"Melipona captiosa / Scaptotrigona bipunctata",0.852937833145707,0.167877070414623,45,1,-0.808184458727248,0.999999996100412
"Melipona captiosa / Scaptotrigona depilis",1.06749901667693,0.298214886037112,45,1,0.233816237202693,1
"Melipona captiosa / Scaptotrigona polysticta",0.69293802533689,0.135117198153341,45,1,-1.88118068303735,0.979972180391622
"Melipona captiosa / Scaptotrigona xanthotricha",0.737481202901067,0.144373515546661,45,1,-1.55550587437819,0.998418669886482
"Melipona captiosa / Schwarziana quadrifasciata",1.25353707277937,0.272988356735139,45,1,1.03762955289045,0.999998995380077
"Melipona captiosa / Tetragona clavipes",0.974452501125801,0.18577587346845,45,1,-0.135746079226446,1
"Melipona captiosa / Tetragonisca angustula",1.35071408075251,0.258404328823562,45,1,1.57145110588953,0.998157899129455
"Melipona captiosa / Trigona hyalinata",1.2134683836488,0.263236671120192,45,1,0.891916496725121,0.99999996255552
"Melipona captiosa / Trigona spinipes",0.993221287280488,0.199034903755114,45,1,-0.0339422132882296,1
"Melipona fulva / Melipona mandacaia",1.1773534353353,0.253879021245155,45,1,0.757153534304268,0.999999999164752
"Melipona fulva / Melipona marginata",1.94607101226981,0.427190979508565,45,1,3.03311263202285,0.386162734553243
"Melipona fulva / Melipona mondury",1.11469335503405,0.244624891506302,45,1,0.494768452551001,1
"Melipona fulva / Melipona quadrifasciata",0.880606014843614,0.187345790062899,45,1,-0.597636127019357,1
"Melipona fulva / Melipona scutellaris",0.970878916392678,0.209269990597067,45,1,-0.137109424097592,1
"Melipona fulva / Nannotrigona testaceicornis",1.61808648328574,0.366710577141722,45,1,2.12345891733758,0.928945205805589
"Melipona fulva / Oxytrigona tataira",3.36379739092012,0.96135079638194,45,1,4.24457277981747,0.0245119198231769
"Melipona fulva / Partamona helleri",0.808656291462827,0.174556484774519,45,1,-0.983884851487942,0.999999675023135
"Melipona fulva / Plebeia droryana",1.30675770548513,0.27758239809882,45,1,1.25952425597551,0.999954201509765
"Melipona fulva / Plebeia lucii",1.4823462616206,0.315545815152158,45,1,1.84914587869973,0.983636795231472
"Melipona fulva / Plebeia phrynostoma",1.8205817519929,0.566251772652735,45,1,1.92637392755339,0.973760209857513
"Melipona fulva / Scaptotrigona bipunctata",1.0848452440987,0.230808054182946,45,1,0.38277224055685,1
"Melipona fulva / Scaptotrigona depilis",1.35774400702914,0.387336385348018,45,1,1.0720175104871,0.999998025193183
"Melipona fulva / Scaptotrigona polysticta",0.881342686452802,0.18800454009969,45,1,-0.592120258114342,1
"Melipona fulva / Scaptotrigona xanthotricha",0.937996820505367,0.199827737758075,45,1,-0.300458665927225,1
"Melipona fulva / Schwarziana quadrifasciata",1.59436441773336,0.371807363984218,45,1,2.00031384275295,0.96059308635421
"Melipona fulva / Tetragona clavipes",1.2393988405317,0.26981180825642,45,1,0.985901182307518,0.999999660397716
"Melipona fulva / Tetragonisca angustula",1.71796312661768,0.393645417722112,45,1,2.3616621091201,0.828517804503077
"Melipona fulva / Trigona hyalinata",1.54340135201935,0.360383702013374,45,1,1.8586264224396,0.982611926649893
"Melipona fulva / Trigona spinipes",1.2632707191214,0.268336403085194,45,1,1.10022951443853,0.999996647073847
"Melipona mandacaia / Melipona marginata",1.65291997616296,0.315481107355313,45,1,2.63300722594255,0.659964422026302
"Melipona mandacaia / Melipona mondury",0.946778869946214,0.180683636948141,45,1,-0.286573101794653,1
"Melipona mandacaia / Melipona quadrifasciata",0.747953833075471,0.143351646773037,45,1,-1.51526882927721,0.998940468805222
"Melipona mandacaia / Melipona scutellaris",0.824628261365014,0.156670664586945,45,1,-1.01491210661362,0.999999369537966
"Melipona mandacaia / Nannotrigona testaceicornis",1.37434217688839,0.267376743317319,45,1,1.63442310992377,0.996739163990147
"Melipona mandacaia / Oxytrigona tataira",2.85708376937986,0.768952302512916,45,1,3.9005939063934,0.0611842400471296
"Melipona mandacaia / Partamona helleri",0.68684242742497,0.130495301399385,45,1,-1.97717935886198,0.965144009077118
"Melipona mandacaia / Plebeia droryana",1.10991115009825,0.215231707206514,45,1,0.537753009486134,1
"Melipona mandacaia / Plebeia lucii",1.25904950640284,0.240985001244831,45,1,1.20352288194232,0.999980460219146
"Melipona mandacaia / Plebeia phrynostoma",1.54633408911268,0.484934429593522,45,1,1.38993423842855,0.999738766351723
"Melipona mandacaia / Scaptotrigona bipunctata",0.921427000202146,0.176577275511095,45,1,-0.427019610803489,1
"Melipona mandacaia / Scaptotrigona depilis",1.15321700882663,0.315199176744992,45,1,0.521566569737674,1
"Melipona mandacaia / Scaptotrigona polysticta",0.748579534404468,0.142826226187581,45,1,-1.51773268282633,0.99891346793059
"Melipona mandacaia / Scaptotrigona xanthotricha",0.796699438209251,0.152273205852685,45,1,-1.18912637846249,0.999984477999565
"Melipona mandacaia / Schwarziana quadrifasciata",1.35419354110883,0.289142592194535,45,1,1.42005971955434,0.999625911761878
"Melipona mandacaia / Tetragona clavipes",1.05269904799549,0.2003078499953,45,1,0.269903917304833,1
"Melipona mandacaia / Tetragonisca angustula",1.45917366447265,0.286222412236868,45,1,1.92639833734049,0.973756500695883
"Melipona mandacaia / Trigona hyalinata",1.31090741802592,0.279417676353795,45,1,1.27009970916297,0.999946608864358
"Melipona mandacaia / Trigona spinipes",1.07297492936913,0.207761513007067,45,1,0.36375887730574,1
"Melipona marginata / Melipona mondury",0.572791716235432,0.108824061640394,45,1,-2.93297744436203,0.451274449227323
"Melipona marginata / Melipona quadrifasciata",0.45250456396065,0.0881943693988482,45,1,-4.06847804971249,0.0395465197217624
"Melipona marginata / Melipona scutellaris",0.498891823716282,0.0952449371975249,45,1,-3.64231862124776,0.114646721542569
"Melipona marginata / Nannotrigona testaceicornis",0.831463226718781,0.159185706658527,45,1,-0.964041808762068,0.99999979081524
"Melipona marginata / Oxytrigona tataira",1.72850701218592,0.468100087742389,45,1,2.020805762492,0.956212887979455
"Melipona marginata / Partamona helleri",0.41553277674058,0.0792606175889607,45,1,-4.60403050291229,0.00874154971265373
"Melipona marginata / Plebeia droryana",0.671485108840395,0.133208887217078,45,1,-2.0075835360867,0.959077366288641
"Melipona marginata / Plebeia lucii",0.761712317934201,0.148123380328069,45,1,-1.3996958478183,0.999706047481478
"Melipona marginata / Plebeia phrynostoma",0.935516607828946,0.302537035396564,45,1,-0.206117412787843,1
